lat,lon,ele,name,dist,habitat,order_habitat,order_transect
32.92027599,35.53196898,280.743042,B97,25.80511078,Plateau,11,5
32.92027297,35.53201298,281.490112,B99,29.75757098,Plateau,12,6
32.92271102,35.52669601,327.199402,C151,0,Karst,1,1
32.92261999,35.52678603,327.437164,C156,13.16974166,Karst,3,3
32.92259996,35.52680396,326.035675,C157,15.95607903,Karst,4,4
32.92256601,35.52682903,325.471466,C158,20.37339413,Karst,5,5
32.92252502,35.52684797,323.970856,C159,25.10656657,Karst,6,6
32.92247297,35.52680899,321.579132,C160,28.52510166,Karst,7,7
32.92234297,35.52675803,316.85202,C163,41.37897512,Karst,8,8
32.92225496,35.52687597,315.060242,C168,53.48084622,Karst,9,9
32.92219704,35.52691997,314.85849,C173,60.92309637,Karst,10,10
32.92012302,35.53400896,241.842361,D194,0,Valley,4,2
32.92017801,35.53407996,242.819763,D196,9.027175953,Valley,5,3
32.920206,35.53406596,242.244476,D198,10.66290653,Valley,6,4
32.92028697,35.534072,243.261902,D200,19.1779513,Valley,7,5
32.92029301,35.53413603,243.257568,D201,22.34009587,Valley,8,6
32.92031497,35.53412103,243.230591,D202,23.79604912,Valley,9,7
32.92031002,35.53412003,243.2246935,D203,23.26066468,Valley,10,8
32.92039996,35.53416101,243.218796,D208,33.94540954,Valley,12,10
32.92046802,35.534159,243.769745,D212,40.88439535,Valley,13,11
32.92051496,35.53422103,243.570129,D215,47.9200516,Valley,14,12
32.92058403,35.53427098,241.979675,D216,56.8609169,Valley,15,13
32.92057296,35.53425799,243.503815,D217,55.22891501,Valley,16,14
32.92064999,35.534245,244.455765,D219,62.67160228,Valley,17,15
32.92067296,35.53424701,244.984161,D220,65.13514676,Valley,18,16
32.92070498,35.53426897,244.956635,D221,69.1897456,Valley,19,17
32.92073901,35.53426696,245.493805,D223,72.68634985,Valley,20,18
32.92078502,35.534288,245.486176,D224,78.17048424,Valley,21,19
32.92079802,35.53429797,245.590042,D225,79.84649602,Valley,22,20
32.92083398,35.534303,245.311157,D227,83.77755529,Valley,24,22
32.92085602,35.53430401,245.30719,D228,86.12925571,Valley,25,23
32.92094797,35.53425296,245.012283,D230,94.62114973,Valley,26,24
32.92098602,35.534245,245.365845,D231,98.5682147,Valley,27,25
